pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
9,30.89906,76.50994,-0.95,0.68,2.73,1.76,0.735,0.026,16.69,0.161,-1.53,0.31,0.50,elastic_dominant
14,30.89906,76.51494,3.29,0.62,3.09,1.86,0.702,0.188,16.48,0.156,3.38,4.25,0.50,indeterminate
15,30.89906,76.51594,5.37,0.69,4.54,1.93,0.735,0.380,16.53,0.158,5.81,6.74,0.33,indeterminate
43,30.89906,76.54394,6.05,0.63,1.82,1.76,0.709,0.445,15.58,0.173,5.71,7.36,0.17,indeterminate
44,30.89906,76.54494,7.57,0.65,1.22,1.62,0.739,0.550,15.72,0.259,7.33,8.77,0.17,indeterminate
45,30.89906,76.54594,5.19,0.65,0.53,1.51,0.786,0.370,15.54,0.307,4.76,6.44,0.33,indeterminate
46,30.89906,76.54694,6.29,0.65,0.53,1.49,0.864,0.463,15.55,0.267,5.69,7.59,0.33,indeterminate
47,30.89906,76.54794,6.26,0.64,0.54,1.46,0.922,0.464,15.45,0.265,5.76,7.46,0.17,indeterminate
48,30.89906,76.54894,6.95,0.64,0.68,1.44,0.963,0.517,15.44,0.234,6.56,8.09,0.17,indeterminate
49,30.89906,76.54994,5.08,0.64,1.47,1.54,0.075,0.367,15.44,0.221,4.73,6.24,0.33,indeterminate
50,30.89906,76.55094,6.39,0.63,1.01,1.44,0.036,0.479,15.34,0.283,5.88,7.58,0.33,indeterminate
51,30.89906,76.55194,4.78,0.64,1.22,1.49,0.071,0.340,15.36,0.177,4.27,6.01,0.33,indeterminate
90,30.89906,76.59094,11.37,0.63,12.06,2.60,0.141,0.755,15.34,0.162,11.15,11.99,0.00,indeterminate
91,30.89906,76.59194,12.19,0.58,11.79,2.42,0.141,0.785,15.21,0.185,12.42,12.72,0.00,indeterminate
92,30.89906,76.59294,8.55,0.59,14.21,2.43,0.168,0.680,14.59,0.191,8.02,8.94,0.17,indeterminate
93,30.89906,76.59394,8.48,0.58,13.85,2.43,0.171,0.678,14.50,0.184,7.89,8.96,0.17,indeterminate
95,30.89906,76.59594,8.15,0.59,14.83,2.41,0.167,0.664,14.48,0.165,7.71,8.45,0.00,indeterminate
96,30.89906,76.59694,10.83,0.56,14.13,2.34,0.167,0.760,14.53,0.153,10.38,11.19,0.00,indeterminate
98,30.89906,76.59894,9.31,0.58,11.94,2.37,0.139,0.700,14.92,0.180,9.05,10.14,0.00,indeterminate
99,30.89906,76.59994,6.43,0.60,11.54,2.40,0.143,0.552,14.94,0.213,5.82,7.48,0.00,indeterminate
100,30.89906,76.60094,11.17,0.59,11.73,2.46,0.140,0.759,15.08,0.268,11.03,12.02,0.00,indeterminate
101,30.89906,76.60194,10.90,0.60,12.15,2.46,0.141,0.753,15.04,0.377,10.44,11.87,0.00,indeterminate
102,30.89906,76.60294,11.14,0.61,12.31,2.48,0.139,0.760,15.09,0.394,10.56,12.19,0.00,indeterminate
103,30.89906,76.60394,15.17,0.60,12.28,2.46,0.138,0.850,15.01,0.399,14.61,16.23,0.00,indeterminate
104,30.89906,76.60494,14.98,0.59,12.40,2.46,0.138,0.847,15.00,0.387,14.73,15.85,0.00,indeterminate
105,30.89906,76.60594,14.66,0.59,12.19,2.49,0.137,0.839,15.17,0.211,14.54,15.53,0.00,indeterminate
110,30.89906,76.61094,11.66,0.60,15.59,2.44,0.164,0.795,14.38,0.155,10.91,12.16,0.00,indeterminate
111,30.89906,76.61194,15.45,0.58,15.83,2.41,0.161,0.868,14.27,0.170,14.61,16.03,0.00,indeterminate
112,30.89906,76.61294,11.43,0.61,17.52,2.56,0.164,0.788,14.57,0.219,10.57,11.87,0.00,indeterminate
113,30.89906,76.61394,11.78,0.61,17.82,2.53,0.163,0.798,14.53,0.232,10.58,12.39,0.00,indeterminate
114,30.89906,76.61494,14.15,0.60,16.48,2.48,0.163,0.846,14.41,0.239,13.25,14.75,0.00,indeterminate
115,30.89906,76.61594,12.31,0.61,17.53,2.54,0.164,0.809,14.60,0.243,11.05,13.04,0.00,indeterminate
116,30.89906,76.61694,12.13,0.58,16.42,2.48,0.163,0.808,14.39,0.210,11.34,12.67,0.00,indeterminate
