pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
45,30.89933,76.54539,9.46,0.50,5.42,1.92,0.742,0.578,15.97,0.163,8.69,9.25,0.14,indeterminate
47,30.89933,76.54739,17.59,0.49,4.61,1.78,0.751,0.821,15.88,0.166,17.33,17.49,0.00,indeterminate
48,30.89933,76.54839,20.09,0.49,4.39,1.77,0.741,0.852,16.10,0.193,20.10,20.01,0.00,indeterminate
49,30.89933,76.54939,9.19,0.51,5.18,1.87,0.742,0.552,16.34,0.185,8.88,9.28,0.14,indeterminate
101,30.89933,76.60139,25.17,0.53,3.26,1.28,0.432,0.915,14.69,0.213,25.32,25.04,0.00,indeterminate
102,30.89933,76.60239,25.61,0.54,3.38,1.29,0.432,0.919,14.55,0.217,25.79,25.51,0.00,indeterminate
103,30.89933,76.60339,26.88,0.52,3.66,1.29,0.407,0.924,14.74,0.181,26.99,26.51,0.00,indeterminate
173,30.89933,76.67339,13.31,0.72,3.14,1.99,0.642,0.761,14.38,0.231,12.72,13.35,0.00,indeterminate
174,30.89933,76.67439,-0.82,0.91,8.65,2.25,0.602,0.205,15.16,0.226,-2.30,-1.21,0.57,elastic_dominant
175,30.89933,76.67539,-1.15,0.84,8.02,2.06,0.589,0.199,14.86,0.212,-2.30,-1.45,0.57,elastic_dominant
211,30.89933,76.71139,-63.55,1.80,21.47,4.11,0.557,0.963,23.69,0.191,-67.33,-65.89,1.00,inelastic_candidate
322,30.89933,76.82239,25.79,0.54,1.18,1.17,0.900,0.943,12.12,0.169,24.13,24.69,0.00,indeterminate
323,30.89933,76.82339,28.95,0.48,1.51,1.05,0.967,0.956,11.88,0.191,27.79,28.07,0.00,indeterminate
324,30.89933,76.82439,32.33,0.49,2.24,1.15,0.979,0.964,11.96,0.188,31.15,31.59,0.00,indeterminate
325,30.89933,76.82539,31.84,0.48,1.99,1.12,0.967,0.963,11.96,0.162,30.52,31.02,0.00,indeterminate
331,30.89933,76.83139,33.69,0.48,2.00,1.13,0.931,0.969,11.53,0.153,32.47,32.84,0.00,indeterminate
332,30.89933,76.83239,35.29,0.49,2.30,1.14,0.961,0.972,11.50,0.167,34.16,34.46,0.00,indeterminate
333,30.89933,76.83339,34.15,0.49,2.25,1.13,0.978,0.970,11.50,0.216,33.22,33.39,0.00,indeterminate
334,30.89933,76.83439,35.16,0.49,2.26,1.09,0.993,0.971,11.54,0.336,34.37,34.40,0.00,indeterminate
335,30.89933,76.83539,34.99,0.50,2.25,1.12,0.985,0.970,11.67,0.316,34.11,34.19,0.00,indeterminate
336,30.89933,76.83639,33.54,0.51,1.98,1.12,0.975,0.968,11.60,0.222,32.66,32.70,0.00,indeterminate
338,30.89933,76.83839,32.41,0.53,1.94,1.19,0.974,0.965,11.75,0.155,31.36,31.54,0.00,indeterminate
339,30.89933,76.83939,35.01,0.52,2.22,1.19,0.977,0.970,11.73,0.187,34.04,34.13,0.00,indeterminate
340,30.89933,76.84039,35.50,0.53,2.25,1.21,0.978,0.970,11.83,0.279,34.44,34.57,0.00,indeterminate
341,30.89933,76.84139,34.89,0.53,2.27,1.21,0.983,0.969,11.83,0.405,33.85,33.99,0.00,indeterminate
342,30.89933,76.84239,35.49,0.52,2.17,1.16,0.990,0.971,11.75,0.282,34.51,34.61,0.00,indeterminate
