pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
390,31.04906,76.04094,-1.94,0.59,0.50,1.09,0.050,0.073,14.95,0.152,-1.80,-2.02,0.33,indeterminate
391,31.04906,76.04194,2.62,0.56,1.09,1.16,0.913,0.133,15.02,0.150,3.39,2.29,0.17,indeterminate
395,31.04906,76.04594,1.01,0.59,0.58,1.11,0.082,0.022,14.94,0.155,0.80,1.00,0.17,indeterminate
396,31.04906,76.04694,2.22,0.56,0.51,1.08,0.925,0.098,14.86,0.283,2.49,2.09,0.17,indeterminate
397,31.04906,76.04794,3.71,0.56,0.52,1.08,0.944,0.232,14.84,0.339,3.86,3.60,0.17,indeterminate
398,31.04906,76.04894,5.86,0.55,0.71,1.07,0.928,0.430,14.79,0.356,6.00,5.75,0.17,indeterminate
399,31.04906,76.04994,6.07,0.53,0.84,1.08,0.901,0.450,14.74,0.365,6.48,5.89,0.17,indeterminate
400,31.04906,76.05094,6.61,0.53,0.97,1.09,0.878,0.492,14.75,0.324,7.13,6.39,0.17,indeterminate
795,31.04806,76.04494,2.75,0.52,0.99,1.15,0.761,0.149,14.63,0.168,3.29,2.63,0.17,indeterminate
796,31.04806,76.04594,5.17,0.53,0.81,1.14,0.788,0.375,14.65,0.227,5.97,4.93,0.17,indeterminate
797,31.04806,76.04694,4.52,0.55,0.49,1.07,0.899,0.312,14.71,0.336,4.81,4.39,0.17,indeterminate
798,31.04806,76.04794,5.87,0.55,0.72,1.09,0.867,0.433,14.72,0.424,6.26,5.71,0.17,indeterminate
799,31.04806,76.04894,6.27,0.54,0.69,1.07,0.908,0.464,14.74,0.439,6.57,6.10,0.17,indeterminate
800,31.04806,76.04994,7.45,0.53,0.86,1.09,0.885,0.551,14.72,0.441,7.91,7.23,0.17,indeterminate
801,31.04806,76.05094,7.04,0.53,1.01,1.10,0.919,0.522,14.78,0.434,7.48,6.81,0.17,indeterminate
1196,31.04706,76.04494,1.81,0.56,0.74,1.13,0.912,0.069,14.89,0.171,2.37,1.60,0.17,indeterminate
1197,31.04706,76.04594,4.22,0.52,0.99,1.15,0.779,0.289,14.62,0.230,4.95,4.01,0.17,indeterminate
1198,31.04706,76.04694,5.72,0.52,0.93,1.11,0.795,0.427,14.55,0.323,6.41,5.52,0.17,indeterminate
1199,31.04706,76.04794,6.27,0.54,0.69,1.09,0.856,0.468,14.65,0.404,6.79,6.06,0.17,indeterminate
1200,31.04706,76.04894,6.48,0.54,0.68,1.07,0.892,0.482,14.70,0.434,6.82,6.32,0.17,indeterminate
1201,31.04706,76.04994,6.66,0.54,0.72,1.07,0.889,0.496,14.72,0.466,7.01,6.49,0.17,indeterminate
1202,31.04706,76.05094,7.48,0.54,0.82,1.08,0.926,0.549,14.84,0.465,7.84,7.26,0.17,indeterminate
1598,31.04606,76.04594,-1.33,0.60,0.30,1.10,0.161,0.036,15.09,0.174,-1.59,-1.36,0.50,indeterminate
1599,31.04606,76.04694,2.56,0.54,0.59,1.10,0.807,0.128,14.73,0.289,3.12,2.36,0.17,indeterminate
1600,31.04606,76.04794,4.81,0.53,0.78,1.10,0.825,0.343,14.62,0.375,5.38,4.60,0.17,indeterminate
1601,31.04606,76.04894,5.87,0.54,0.65,1.07,0.862,0.435,14.67,0.391,6.24,5.71,0.17,indeterminate
1602,31.04606,76.04994,5.53,0.54,0.70,1.08,0.889,0.404,14.74,0.443,5.94,5.32,0.17,indeterminate
1603,31.04606,76.05094,6.53,0.54,0.87,1.09,0.920,0.484,14.78,0.471,6.89,6.31,0.17,indeterminate
1910,31.04506,75.95694,-20.38,0.49,3.45,1.49,0.271,0.903,14.67,0.565,-21.47,-20.42,1.00,inelastic_candidate
