pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
48,28.64961,76.94839,1.88,0.45,1.82,0.89,0.746,0.186,7.29,0.202,0.84,2.60,0.25,indeterminate
49,28.64961,76.94939,1.95,0.46,1.81,0.91,0.741,0.195,7.32,0.235,0.32,3.03,0.25,indeterminate
50,28.64961,76.95039,1.18,0.46,1.77,0.92,0.755,0.091,7.36,0.317,-0.28,2.00,0.25,indeterminate
51,28.64961,76.95139,0.73,0.45,1.63,0.92,0.765,0.047,7.32,0.381,-0.86,1.51,0.50,elastic_dominant
52,28.64961,76.95239,0.11,0.47,1.57,0.94,0.758,0.020,7.42,0.376,-1.72,0.94,0.50,elastic_dominant
53,28.64961,76.95339,0.85,0.47,1.59,0.93,0.746,0.055,7.46,0.411,-1.13,1.75,0.50,indeterminate
54,28.64961,76.95439,0.69,0.48,1.55,0.94,0.755,0.040,7.54,0.385,-1.69,1.64,0.50,elastic_dominant
55,28.64961,76.95539,0.55,0.48,1.58,0.93,0.722,0.033,7.62,0.290,-2.25,1.66,0.50,elastic_dominant
56,28.64961,76.95639,-0.02,0.48,1.56,0.93,0.751,0.020,7.52,0.209,-2.52,0.89,0.50,elastic_dominant
116,28.64961,77.01639,-3.19,0.38,1.33,0.85,0.571,0.368,7.60,0.225,-6.07,-2.47,0.75,indeterminate
117,28.64961,77.01739,-1.63,0.37,1.49,0.86,0.598,0.149,7.52,0.323,-4.56,-0.75,0.75,indeterminate
118,28.64961,77.01839,-1.00,0.38,1.62,0.88,0.600,0.077,7.56,0.365,-4.13,0.01,0.75,indeterminate
119,28.64961,77.01939,-1.11,0.37,1.66,0.87,0.608,0.090,7.52,0.439,-4.24,-0.09,0.75,indeterminate
120,28.64961,77.02039,-0.62,0.37,1.69,0.87,0.603,0.049,7.47,0.505,-3.79,0.45,0.50,elastic_dominant
121,28.64961,77.02139,-0.62,0.37,1.68,0.87,0.608,0.049,7.44,0.506,-3.88,0.54,0.50,elastic_dominant
122,28.64961,77.02239,-0.13,0.36,1.74,0.86,0.601,0.031,7.37,0.535,-3.44,1.09,0.50,elastic_dominant
123,28.64961,77.02339,0.18,0.37,1.85,0.88,0.598,0.035,7.40,0.526,-3.25,1.49,0.50,elastic_dominant
124,28.64961,77.02439,0.07,0.37,1.83,0.87,0.609,0.033,7.38,0.434,-3.36,1.40,0.50,elastic_dominant
125,28.64961,77.02539,0.19,0.37,1.81,0.86,0.605,0.034,7.38,0.402,-3.13,1.46,0.50,elastic_dominant
126,28.64961,77.02639,0.68,0.36,1.82,0.85,0.601,0.057,7.31,0.344,-2.39,1.84,0.50,elastic_dominant
127,28.64961,77.02739,0.78,0.36,1.78,0.85,0.609,0.063,7.31,0.332,-2.27,1.99,0.50,elastic_dominant
128,28.64961,77.02839,0.34,0.36,1.75,0.84,0.610,0.036,7.27,0.310,-2.73,1.58,0.50,elastic_dominant
129,28.64961,77.02939,0.44,0.36,1.60,0.83,0.615,0.036,7.24,0.288,-2.31,1.52,0.50,elastic_dominant
130,28.64961,77.03039,0.49,0.36,1.63,0.83,0.614,0.040,7.24,0.231,-2.33,1.61,0.50,elastic_dominant
131,28.64961,77.03139,0.82,0.37,1.66,0.84,0.604,0.064,7.25,0.214,-2.01,1.97,0.50,elastic_dominant
132,28.64961,77.03239,0.36,0.36,1.58,0.82,0.601,0.032,7.25,0.192,-2.34,1.43,0.50,elastic_dominant
133,28.64961,77.03339,0.15,0.36,1.41,0.81,0.605,0.022,7.24,0.382,-2.28,1.07,0.50,elastic_dominant
134,28.64961,77.03439,0.16,0.35,1.33,0.79,0.609,0.019,7.23,0.438,-2.29,1.10,0.50,elastic_dominant
135,28.64961,77.03539,0.87,0.36,1.33,0.80,0.599,0.060,7.27,0.446,-1.55,1.81,0.50,indeterminate
136,28.64961,77.03639,0.51,0.36,1.24,0.79,0.599,0.031,7.26,0.458,-1.76,1.38,0.50,elastic_dominant
137,28.64961,77.03739,0.58,0.36,1.24,0.80,0.601,0.034,7.30,0.322,-1.79,1.51,0.50,elastic_dominant
138,28.64961,77.03839,0.39,0.36,1.22,0.79,0.607,0.023,7.28,0.225,-1.91,1.29,0.50,elastic_dominant
139,28.64961,77.03939,0.29,0.35,1.18,0.78,0.623,0.019,7.22,0.227,-1.70,1.05,0.50,elastic_dominant
140,28.64961,77.04039,0.51,0.35,1.16,0.77,0.642,0.028,7.16,0.290,-1.50,1.32,0.50,elastic_dominant
141,28.64961,77.04139,0.22,0.35,1.17,0.77,0.646,0.016,7.22,0.289,-1.70,0.96,0.50,elastic_dominant
142,28.64961,77.04239,0.84,0.37,1.11,0.77,0.621,0.052,7.25,0.344,-1.35,1.75,0.50,indeterminate
143,28.64961,77.04339,1.04,0.37,1.00,0.75,0.618,0.070,7.27,0.377,-1.06,1.89,0.50,indeterminate
144,28.64961,77.04439,0.88,0.37,0.98,0.75,0.591,0.053,7.30,0.421,-1.34,1.78,0.50,indeterminate
145,28.64961,77.04539,0.97,0.38,1.00,0.76,0.612,0.062,7.29,0.358,-1.37,1.99,0.50,indeterminate
146,28.64961,77.04639,1.21,0.38,0.97,0.76,0.607,0.089,7.29,0.312,-1.08,2.22,0.50,indeterminate
147,28.64961,77.04739,1.03,0.39,0.90,0.74,0.608,0.067,7.29,0.299,-1.18,2.03,0.50,indeterminate
148,28.64961,77.04839,1.09,0.39,0.87,0.74,0.607,0.073,7.28,0.289,-1.14,2.12,0.50,indeterminate
149,28.64961,77.04939,0.95,0.39,0.81,0.72,0.633,0.057,7.24,0.328,-1.06,1.88,0.50,indeterminate
