pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
20,31.69983,74.17028,-1.78,1.03,5.63,2.49,0.363,0.067,15.47,0.155,4.11,-7.73,0.50,elastic_dominant
21,31.69983,74.17128,-4.26,1.09,5.00,2.55,0.404,0.115,15.79,0.213,4.36,-15.24,0.50,indeterminate
22,31.69983,74.17228,-1.47,1.09,5.21,2.56,0.406,0.050,16.05,0.235,6.89,-12.10,0.50,elastic_dominant
23,31.69983,74.17328,-8.24,1.24,4.20,2.59,0.425,0.267,16.00,0.243,2.34,-21.72,1.00,indeterminate
24,31.69983,74.17428,-10.83,1.24,6.26,2.51,0.472,0.384,16.13,0.204,-1.10,-23.99,1.00,indeterminate
27,31.69983,74.17728,-6.96,1.27,5.27,2.66,0.438,0.219,15.92,0.153,3.66,-19.65,0.50,indeterminate
28,31.69983,74.17828,-2.85,0.98,5.79,2.29,0.371,0.095,15.16,0.156,-1.10,-3.67,1.00,indeterminate
29,31.69983,74.17928,2.65,1.05,4.52,1.92,0.348,0.078,14.91,0.163,-0.30,7.49,0.50,indeterminate
32,31.69983,74.18228,-6.43,0.96,4.75,2.24,0.426,0.208,15.22,0.175,0.38,-14.44,1.00,indeterminate
33,31.69983,74.18328,-8.13,1.06,5.86,2.46,0.402,0.293,15.37,0.161,-1.61,-15.05,1.00,indeterminate
90,31.69983,74.24028,-12.16,0.99,4.09,2.03,0.398,0.447,15.72,0.176,-8.97,-15.14,1.00,inelastic_candidate
91,31.69983,74.24128,-13.08,1.16,5.53,2.27,0.430,0.473,16.05,0.208,-7.00,-19.51,1.00,inelastic_candidate
92,31.69983,74.24228,-12.37,1.05,5.06,2.28,0.386,0.456,15.80,0.247,-7.17,-17.64,1.00,inelastic_candidate
93,31.69983,74.24328,-11.23,1.07,5.35,2.31,0.384,0.415,15.72,0.267,-5.39,-17.09,1.00,inelastic_candidate
94,31.69983,74.24428,-11.12,1.01,5.53,2.10,0.377,0.420,15.47,0.236,-8.28,-12.97,1.00,inelastic_candidate
95,31.69983,74.24528,-3.26,1.21,5.76,1.99,0.337,0.107,15.38,0.248,-4.92,1.72,1.00,indeterminate
96,31.69983,74.24628,-4.47,1.25,5.63,2.00,0.349,0.143,15.33,0.245,-6.58,1.15,1.00,indeterminate
97,31.69983,74.24728,-15.73,1.38,7.08,2.47,0.451,0.571,15.85,0.250,-7.54,-23.81,1.00,inelastic_candidate
98,31.69983,74.24828,-15.40,1.36,6.74,2.44,0.444,0.560,15.89,0.264,-7.22,-23.34,1.00,inelastic_candidate
99,31.69983,74.24928,-13.46,1.56,7.00,2.68,0.446,0.486,16.20,0.261,-2.91,-23.87,1.00,indeterminate
100,31.69983,74.25028,-16.05,1.70,7.57,2.78,0.466,0.567,16.31,0.287,-4.49,-28.07,1.00,indeterminate
101,31.69983,74.25128,-18.00,1.93,8.07,3.01,0.481,0.609,16.71,0.312,-4.33,-32.79,1.00,indeterminate
102,31.69983,74.25228,-9.74,1.12,4.47,2.11,0.370,0.376,14.80,0.385,-3.83,-14.65,1.00,indeterminate
103,31.69983,74.25328,-9.26,1.18,4.44,2.16,0.372,0.351,14.88,0.614,-2.74,-14.92,1.00,indeterminate
