pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
453616,30.22606,76.24394,9.25,0.42,3.54,1.80,0.650,0.704,13.80,0.392,8.96,9.02,0.17,indeterminate
453617,30.22606,76.24494,10.80,0.41,3.36,1.66,0.636,0.767,13.71,0.406,10.31,10.58,0.17,indeterminate
453618,30.22606,76.24594,9.61,0.40,3.57,1.77,0.632,0.717,13.86,0.180,8.88,9.42,0.17,indeterminate
455016,30.22506,76.24294,10.89,0.43,3.77,1.77,0.647,0.768,13.76,0.359,10.59,10.69,0.17,indeterminate
455017,30.22506,76.24394,10.53,0.41,3.72,1.75,0.642,0.756,13.75,0.328,10.13,10.36,0.17,indeterminate
455018,30.22506,76.24494,10.67,0.38,3.44,1.72,0.645,0.767,13.51,0.288,10.13,10.62,0.17,indeterminate
455019,30.22506,76.24594,8.10,0.40,3.80,1.83,0.649,0.649,13.69,0.274,7.38,8.03,0.17,indeterminate
455028,30.22506,76.25494,13.11,0.47,2.41,1.67,0.616,0.819,14.20,0.156,12.80,12.80,0.17,indeterminate
456403,30.22406,76.22894,2.09,0.43,5.02,2.05,0.648,0.133,13.71,0.517,1.69,2.00,0.33,indeterminate
456415,30.22406,76.24094,10.07,0.41,3.39,1.70,0.653,0.745,13.55,0.315,9.85,9.96,0.17,indeterminate
456416,30.22406,76.24194,10.84,0.42,3.43,1.76,0.638,0.767,13.74,0.493,10.50,10.66,0.17,indeterminate
456417,30.22406,76.24294,12.46,0.42,3.75,1.79,0.647,0.815,13.66,0.422,12.14,12.27,0.17,indeterminate
456418,30.22406,76.24394,12.35,0.40,3.64,1.72,0.645,0.815,13.55,0.378,12.03,12.19,0.17,indeterminate
456419,30.22406,76.24494,11.90,0.39,3.47,1.72,0.639,0.806,13.44,0.323,11.45,11.79,0.17,indeterminate
456420,30.22406,76.24594,9.53,0.39,3.64,1.77,0.647,0.725,13.50,0.236,9.09,9.51,0.17,indeterminate
456421,30.22406,76.24694,8.63,0.40,3.17,1.71,0.655,0.682,13.55,0.160,8.57,8.47,0.17,indeterminate
456427,30.22406,76.25294,13.55,0.45,3.00,1.76,0.628,0.827,14.26,0.181,13.21,13.34,0.17,indeterminate
456428,30.22406,76.25394,15.64,0.44,3.03,1.75,0.631,0.867,14.11,0.191,15.18,15.52,0.17,indeterminate
456429,30.22406,76.25494,15.88,0.43,2.42,1.67,0.605,0.869,14.22,0.198,15.39,15.70,0.17,indeterminate
456430,30.22406,76.25594,10.91,0.43,3.24,1.73,0.647,0.759,14.16,0.185,10.79,10.72,0.33,indeterminate
457817,30.22306,76.24194,11.79,0.42,3.95,1.83,0.647,0.798,13.65,0.740,11.48,11.60,0.17,indeterminate
457818,30.22306,76.24294,11.99,0.41,3.71,1.77,0.647,0.803,13.67,0.507,11.66,11.83,0.17,indeterminate
457819,30.22306,76.24394,11.90,0.40,3.70,1.75,0.641,0.802,13.60,0.369,11.45,11.73,0.17,indeterminate
457820,30.22306,76.24494,9.68,0.39,3.51,1.71,0.638,0.727,13.63,0.313,9.21,9.53,0.17,indeterminate
457821,30.22306,76.24594,10.32,0.40,3.92,1.84,0.648,0.752,13.64,0.221,9.87,10.18,0.17,indeterminate
457828,30.22306,76.25294,16.02,0.49,3.07,1.88,0.627,0.865,14.57,0.171,15.68,15.72,0.17,indeterminate
457829,30.22306,76.25394,15.23,0.42,3.13,1.76,0.628,0.865,13.85,0.200,14.62,15.11,0.17,indeterminate
457830,30.22306,76.25494,16.36,0.43,2.72,1.67,0.612,0.878,14.07,0.201,15.88,16.20,0.17,indeterminate
457831,30.22306,76.25594,10.89,0.45,3.47,1.77,0.637,0.757,14.18,0.187,10.47,10.55,0.17,indeterminate
459215,30.22206,76.23894,8.51,0.41,3.12,1.66,0.635,0.671,13.68,0.592,8.22,8.29,0.33,indeterminate
459216,30.22206,76.23994,8.88,0.43,4.14,1.89,0.652,0.682,13.94,0.810,8.65,8.65,0.33,indeterminate
